v / Ch.,rounds,t LR / 10ms,N LR,rel delta N LR,Counting Rate LR,delta Counting Rate LR,rel delta Counting Rate LR,t RL / 10ms,N RL,delta N RL,Counting Rate RL,delta Counting Rate RL,rel delta Counting Rate RL
0.78,1,1022,6448,0.0124533870346679,630.919765166341,7.85708802343825,0.0124533870346679,1205,7571,0.0114927345784805,628.298755186722,7.2208708293507,0.0114927345784805
0.74,1,1070,6551,0.0123550981630348,612.242990654206,7.56432224916272,0.0123550981630348,1272,7730,0.0113739221942216,607.704402515723,6.91198259129977,0.0113739221942216
0.70,1,1127,7023,0.0119326984511139,623.158828748891,7.43596639060987,0.0119326984511139,1353,8514,0.0108376014793726,629.268292682927,6.81975897970275,0.0108376014793726
0.66,1,1194,7396,0.0116279069767442,619.430485762144,7.20268006700168,0.0116279069767442,1453,8888,0.0106071320876622,611.699931176875,6.48838196800698,0.0106071320876622
0.62,1,1266,7881,0.0112644330008711,622.511848341232,7.01224300788821,0.0112644330008711,1560,9777,0.0101134001824552,626.730769230769,6.33837907588878,0.0101134001824553
0.58,1,1340,8245,0.0110129754223426,615.298507462687,6.77626734009068,0.0110129754223426,1672,10374,0.00981808704569981,620.454545454545,6.09167673517284,0.00981808704569982
0.54,1,1437,8844,0.0106334852514778,615.44885177453,6.54436628838344,0.0106334852514778,1828,11404,0.00936421541509119,623.851203501094,5.84187705654814,0.0093642154150912
0.50,1,1531,9657,0.0101760418478777,630.764206401045,6.41868296048042,0.0101760418478777,1984,12337,0.00900316516893312,621.824596774194,5.5983895508633,0.00900316516893311
0.46,1,1665,10266,0.00986959587102306,616.576576576577,6.08536163434971,0.00986959587102305,2213,13621,0.0085683165644283,615.499322187076,5.27379303768992,0.00856831656442831
0.42,1,1786,11218,0.00944152792902271,628.107502799552,5.93029453011068,0.00944152792902271,2431,14903,0.00819149459958797,613.039901275195,5.0217130406277,0.00819149459958797
0.38,1,1954,11835,0.00919212388566223,605.68065506653,5.5674916165206,0.00919212388566224,2757,16616,0.00775776747439673,602.684076895176,4.67548292907422,0.00775776747439674
0.34,1,2169,13185,0.00870883240455274,607.883817427386,5.29395828741484,0.00870883240455274,3203,17977,0.00745832649006295,561.255073368717,4.18602358138812,0.00745832649006294
0.32,1,2295,13466,0.00861748815112352,586.753812636166,5.0563440280187,0.0086174881511235,3488,19508,0.00715968023863781,559.288990825688,4.00433033530236,0.00715968023863781
0.30,1,2404,14054,0.00843529014459715,584.608985024958,4.93134640982397,0.00843529014459715,3742,21362,0.0068419365859141,570.871191876002,3.90586449354081,0.00684193658591411
0.28,1,2575,14374,0.00834086668443075,558.21359223301,4.65598515425272,0.00834086668443074,4172,24389,0.00640328752334662,584.587727708533,3.7432833031376,0.00640328752334662
0.26,1,2715,14935,0.0081827142719093,550.092081031308,4.50124632231916,0.00818271427190928,4551,26305,0.00616567809656165,578.004834102395,3.56379174533189,0.00616567809656166
0.24,1,2902,16509,0.00778286713085519,568.883528600965,4.42754491603337,0.00778286713085519,5102,30959,0.00568337794881471,606.801254410035,3.4486808686271,0.00568337794881471
0.22,1,3156,18279,0.00739645779697604,579.182509505703,4.28389898830561,0.00739645779697605,5950,36199,0.00525595590885382,608.386554621849,3.19765290663192,0.00525595590885381
0.20,1,3354,19782,0.00710992306322781,589.803220035778,4.19345551689841,0.00710992306322782,6704,40624,0.00496145044794963,605.966587112172,3.0064731950702,0.00496145044794964
0.18,1,3665,22187,0.00671352651216884,605.37517053206,4.06420225717572,0.00671352651216884,8092,49508,0.00449430258846079,611.814137419674,2.74967786146215,0.0044943025884608
0.14,1,4385,27063,0.00607871848835171,617.172177879133,3.75161592817018,0.00607871848835172,12765,78090,0.00357851044013604,611.750881316099,2.18915691555208,0.00357851044013603
